Date,SalaN,Pendiente de Fallo,Pendiente de Audiencia,Pendiente Mora
2019-5-1,Primera Sala,,,
2019-5-1,Segunda Sala,,,
2019-5-1,Tercera Sala,,,
2019-5-1,Pleno y Salas Reunidas,,,
2019-6-1,Primera Sala,,,
2019-6-1,Segunda Sala,,,
2019-6-1,Tercera Sala,,,
2019-6-1,Pleno y Salas Reunidas,,,
2019-7-1,Primera Sala,,,
2019-7-1,Segunda Sala,,,
2019-7-1,Tercera Sala,,,
2019-7-1,Pleno y Salas Reunidas,,,
2019-8-1,Primera Sala,,,
2019-8-1,Segunda Sala,,,
2019-8-1,Tercera Sala,,,
2019-8-1,Pleno y Salas Reunidas,,,
2019-9-1,Primera Sala,,,
2019-9-1,Segunda Sala,,,
2019-9-1,Tercera Sala,,,
2019-9-1,Pleno y Salas Reunidas,,,
2019-10-1,Primera Sala,,,
2019-10-1,Segunda Sala,,,
2019-10-1,Tercera Sala,,,
2019-10-1,Pleno y Salas Reunidas,,,
2019-11-1,Primera Sala,,,
2019-11-1,Segunda Sala,,,
2019-11-1,Tercera Sala,,,
2019-11-1,Pleno y Salas Reunidas,,,
2019-12-1,Primera Sala,,,
2019-12-1,Segunda Sala,,,
2019-12-1,Tercera Sala,,,
2019-12-1,Pleno y Salas Reunidas,,,
2020-1-1,Primera Sala,,,
2020-1-1,Segunda Sala,,,
2020-1-1,Tercera Sala,,,
2020-1-1,Pleno y Salas Reunidas,,,
2020-2-1,Primera Sala,,,
2020-2-1,Segunda Sala,,,
2020-2-1,Tercera Sala,,,
2020-2-1,Pleno y Salas Reunidas,,,
2020-3-1,Primera Sala,,,
2020-3-1,Segunda Sala,,,
2020-3-1,Tercera Sala,,,
2020-3-1,Pleno y Salas Reunidas,,,
2020-4-1,Primera Sala,,,
2020-4-1,Segunda Sala,,,
2020-4-1,Tercera Sala,,,
2020-4-1,Pleno y Salas Reunidas,,,
2020-5-1,Primera Sala,,,
2020-5-1,Segunda Sala,,,
2020-5-1,Tercera Sala,,,
2020-5-1,Pleno y Salas Reunidas,,,
2020-6-1,Primera Sala,,,
2020-6-1,Segunda Sala,,,
2020-6-1,Tercera Sala,,,
2020-6-1,Pleno y Salas Reunidas,,,
2020-7-1,Primera Sala,,,
2020-7-1,Segunda Sala,,,
2020-7-1,Tercera Sala,,,
2020-7-1,Pleno y Salas Reunidas,,,
2020-8-1,Primera Sala,,,
2020-8-1,Segunda Sala,,,
2020-8-1,Tercera Sala,,,
2020-8-1,Pleno y Salas Reunidas,,,
2020-9-1,Primera Sala,,,
2020-9-1,Segunda Sala,,,
2020-9-1,Tercera Sala,,,
2020-9-1,Pleno y Salas Reunidas,,,
2020-10-1,Primera Sala,,,
2020-10-1,Segunda Sala,,,
2020-10-1,Tercera Sala,,,
2020-10-1,Pleno y Salas Reunidas,,,
2020-11-1,Primera Sala,,,"3,970"
2020-11-1,Segunda Sala,,,23
2020-11-1,Tercera Sala,,,613
2020-11-1,Pleno y Salas Reunidas,,,47
2020-12-1,Primera Sala,,,"3,833"
2020-12-1,Segunda Sala,,,22
2020-12-1,Tercera Sala,,,399
2020-12-1,Pleno y Salas Reunidas,,,41
2021-1-1,Primera Sala,3503,1454,3704
2021-1-1,Segunda Sala,658,423,22
2021-1-1,Tercera Sala,275,560,422
2021-1-1,Pleno y Salas Reunidas,52,16,37
2021-2-1,Primera Sala,3985,641,3362
2021-2-1,Segunda Sala,545,701,21
2021-2-1,Tercera Sala,548,159,340
2021-2-1,Pleno y Salas Reunidas,59,17,36
2021-3-1,Primera Sala,3736,543,3005
2021-3-1,Segunda Sala,786,448,21
2021-3-1,Tercera Sala,562,40,268
2021-3-1,Pleno y Salas Reunidas,82,7,44
2021-4-1,Primera Sala,3452,557,2720
2021-4-1,Segunda Sala,767,433,16
2021-4-1,Tercera Sala,497,9,217
2021-4-1,Pleno y Salas Reunidas,102,5,48
2021-5-1,Primera Sala,3130,640,
2021-5-1,Segunda Sala,730,405,
2021-5-1,Tercera Sala,421,2,
2021-5-1,Pleno y Salas Reunidas,149,9,
2021-6-1,Primera Sala,2878,742,
2021-6-1,Segunda Sala,774,351,
2021-6-1,Tercera Sala,341,22,
2021-6-1,Pleno y Salas Reunidas,174,29,
2021-7-1,Primera Sala,2728,808,
2021-7-1,Segunda Sala,713,274,
2021-7-1,Tercera Sala,291,22,
2021-7-1,Pleno y Salas Reunidas,184,21,
2021-8-1,Primera Sala,2619,711,
2021-8-1,Segunda Sala,662,305,
2021-8-1,Tercera Sala,335,49,
2021-8-1,Pleno y Salas Reunidas,177,23,
2021-9-1,Primera Sala,2507,645,
2021-9-1,Segunda Sala,500,442,
2021-9-1,Tercera Sala,292,37,
2021-9-1,Pleno y Salas Reunidas,169,19,
2021-10-1,Primera Sala,2280,683,
2021-10-1,Segunda Sala,423,418,
2021-10-1,Tercera Sala,194,22,
2021-10-1,Pleno y Salas Reunidas,187,16,
2021-11-1,Primera Sala,2086,751,
2021-11-1,Segunda Sala,399,339,
2021-11-1,Tercera Sala,164,46,
2021-11-1,Pleno y Salas Reunidas,150,10,
2021-12-1,Primera Sala,2006,729,
2021-12-1,Segunda Sala,271,441,
2021-12-1,Tercera Sala,189,86,
2021-12-1,Pleno y Salas Reunidas,250,10,
2022-1-1,Primera Sala,1808,455,993
2022-1-1,Segunda Sala,354,322,110
2022-1-1,Tercera Sala,318,29,8
2022-1-1,Pleno y Salas Reunidas,209,13,30
2022-2-1,Primera Sala,1673,401,878
2022-2-1,Segunda Sala,294,325,87
2022-2-1,Tercera Sala,258,6,10
2022-2-1,Pleno y Salas Reunidas,224,0,23
2022-3-1,Primera Sala,1462,318,734
2022-3-1,Segunda Sala,274,278,117
2022-3-1,Tercera Sala,222,39,15
2022-3-1,Pleno y Salas Reunidas,175,3,28
2022-4-1,Primera Sala,1324,361,638
2022-4-1,Segunda Sala,217,291,84
2022-4-1,Tercera Sala,248,56,12
2022-4-1,Pleno y Salas Reunidas,123,22,27
2022-5-1,Primera Sala,1246,323,576
2022-5-1,Segunda Sala,249,300,71
2022-5-1,Tercera Sala,217,73,10
2022-5-1,Pleno y Salas Reunidas,248,13,26
2022-6-1,Primera Sala,1154,280,502
2022-6-1,Segunda Sala,221,348,52
2022-6-1,Tercera Sala,262,41,10
2022-6-1,Pleno y Salas Reunidas,352,10,18
2022-7-1,Primera Sala,1112,292,430
2022-7-1,Segunda Sala,248,297,11
2022-7-1,Tercera Sala,223,36,5
2022-7-1,Pleno y Salas Reunidas,400,16,13
2022-8-1,Primera Sala,997,270,351
2022-8-1,Segunda Sala,221,333,15
2022-8-1,Tercera Sala,241,50,8
2022-8-1,Pleno y Salas Reunidas,420,8,25
2022-9-1,Primera Sala,952,275,311
2022-9-1,Segunda Sala,169,367,18
2022-9-1,Tercera Sala,202,88,7
2022-9-1,Pleno y Salas Reunidas,435,12,28
2022-10-1,Primera Sala,708,193,162
2022-10-1,Segunda Sala,219,301,23
2022-10-1,Tercera Sala,217,139,5
2022-10-1,Pleno y Salas Reunidas,362,6,30
2022-11-1,Primera Sala,547,119,73
2022-11-1,Segunda Sala,253,268,12
2022-11-1,Tercera Sala,387,57,10
2022-11-1,Pleno y Salas Reunidas,308,0,33
2022-12-1,Primera Sala,,,
2022-12-1,Segunda Sala,,,
2022-12-1,Tercera Sala,,,
2022-12-1,Pleno y Salas Reunidas,,,
,,,,
,,,,
